sentence,gr.pos
"['–', 'Хьарэ', 'пӏуи', '?']","['PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['Нэужым', 'Пенсиехэмкӏэ', 'фондым', 'икъулыкъухэу', 'тиреспубликэ', 'щыӏэхэр', 'лъэӏу', 'тхылъхэр', 'аӏыхыгъэнхэм', 'фежьэщтых', '.']","['ADV', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Грознэм', 'щызэхащэщт', 'къэгъэлъэгъоным', 'тисурэтышӏхэм', 'гъэхъагъэ', 'щашӏынэу', 'афэтэӏо', '.']","['ADJ', 'VERB', 'VERB', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Сыда', 'пӏомэ', 'дунаир', 'Интернет', 'хъытыум', 'зэлъиштагъ', '.']","['ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Укъэмыгумэкӏ', ',', 'Къэсэй', '.']","['VERB', 'PUNCT', 'NOUN', 'PUNCT']"
"['Ар', 'хэку', 'гъэзетым', 'къызысэтхым', 'къыхаутыгъ', '.']","['PRON', 'NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Уадыгэу', 'зылъытэжь', 'лъэпкъ', 'гъэзетым', 'адыгабзэкӏэ', 'уеджэмэ', '.']","['ADV', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['«', 'Сыд', 'сэӏо', 'мыщ', 'ыӏохэрэр', '?']","['PUNCT', 'ADJ', 'VERB', 'ADJ', 'VERB', 'PUNCT']"
"['-', 'Ар', 'типшъэрылъ', 'шъхьаӏэмэ', 'ахэтэлъытэ', '.']","['PUNCT', 'PRON', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['Механизаторхэр', 'ыпкӏэ', 'хэмылъэу', 'тэгъашхэх', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Сэ', 'сытекӏуагъ', ',', 'ежьыр', 'сызтекӏуагъэри', '.']","['PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PUNCT']"
"['Ыгукӏэ', 'еджэным', 'фэщагъэу', ',', 'ишӏэ', 'шӏэгъошӏоу', 'кӏэлэегъаджэхэри', 'къыфэразэу', 'еджапӏэм', 'щеджагъ', '.']","['NOUN', 'VERB', 'VERB', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'VERB', 'PUNCT']"
"['Зэгъунэгъу', 'краимрэ', 'республикэмрэ', 'язэпхыныгъэхэр', 'ащ', 'фэдэ', 'зэхахьэхэм', 'ащэпытэх', '.']","['NOUN', 'NOUN', 'NOUN', 'VERB', 'PRON', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['—', 'Щыгъэт', ',', 'сыкъызэтемыч', '!']","['PUNCT', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['Мыщ', 'дэжьым', 'къэӏогъэн', 'фае', 'нэмыкӏ', 'шӏыкӏэхэмкӏи', 'ар', 'зэрагъэпщынэщтыгъэр', '.']","['ADJ', 'VERB', 'VERB', 'VERB', 'ADJ', 'VERB', 'PRON', 'VERB', 'PUNCT']"
"['«', 'Тихэгъэгухэм', 'япащэхэм', 'зэдашӏырэ', 'къэралыгъо', 'зэзэгъыныгъэхэм', 'атегъэпсыхьагъэу', 'тызэдэлэжьэным', 'тыфэхьазыр', '.']","['PUNCT', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADJ', 'PUNCT']"
"['Сыд', 'фэдэ', 'унашъоха', 'шъуштагъэхэр', '?']","['ADJ', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['-', 'Тиреспубликэ', 'имэфэкӏ', 'фэгъэхьыгъэ', 'концертхэр', 'Мыекъуапэ', 'игупчэу', 'Лениным', 'ыцӏэкӏэ', 'щытым', 'щыкӏощтых', '.']","['PUNCT', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Адыгэ', 'хэкум', 'изэгъэшӏэн', 'пылъ', 'Обществэм', ',', 'лъэпкъ', 'музеим', 'язэхэщэн', 'кӏэщакӏо', 'фэхъугъэхэм', 'ащыщ', 'Ибрахьимэ', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'VERB', 'NOUN', 'PUNCT']"
"['Лъапсэу', 'тшӏыгъэр', 'дгъэпытэн', 'тлъэкӏыщт', '.']","['ADV', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Сыда', 'а', 'ӏофшӏэныр', 'кӏыхьэ-лыхьэ', 'зыкӏэхъугъэр', '?']","['ADJ', 'PRON', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['Мары', 'илъэсыр', 'ыкӏэм', 'фэкӏуагъ', '.']","['ADJ', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['—', 'Слъэгъугъэп', ',', 'ау', 'сыкӏэупчӏагъ', '.']","['PUNCT', 'VERB', 'PUNCT', 'CONJ', 'VERB', 'PUNCT']"
"['Ау', 'фэе', 'пстэуми', 'ащ', 'фэдэ', 'фэгъэкӏотэныгъэ', 'зэрафамышӏырэр', 'къэӏогъэн', 'фае', '.']","['CONJ', 'VERB', 'ADJ', 'PRON', 'VERB', 'VERB', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Адыгеим', 'имызакъоу', ',', 'нэмыкӏ', 'чӏыпӏэхэми', 'итхылъхэмкӏэ', 'щызэлъашӏагъ', '.']","['NOUN', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Ащ', 'уимыгъэгушӏон', 'плъэкӏырэп', '.']","['PRON', 'VERB', 'VERB', 'PUNCT']"
"['Концертхэр', ',', 'къэгъэлъэгъонхэр', 'Краснодар', 'краим', 'щыкӏощтых', '.']","['NOUN', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Ащ', 'пае', 'амал', 'пстэур', 'тиӏ', '.']","['PRON', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'PUNCT']"
"['Нэужым', 'артиллерийскэ', 'училищэу', 'Краснодар', 'дэтыри', 'къеухышъ', ',', 'дзэ', 'къулыкъум', 'ащэ', '.']","['ADV', 'ADJ', 'ADV', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Ащ', 'гъунэ', 'фэшӏыгъэн', 'фае', '.']","['PRON', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Мыщ', 'фэдэ', 'ӏофтхьабзэ', 'ащыкӏуагъ', 'районхэми', '.']","['ADJ', 'VERB', 'NOUN', 'VERB', 'NOUN', 'PUNCT']"
"['Ащ', 'бэ', 'елъытыгъэр', '.']","['PRON', 'ADJ', 'VERB', 'PUNCT']"
"['-', 'Ар', 'лъэшэу', 'тызыгъэгумэкӏырэмэ', 'ащыщ', '.']","['PUNCT', 'PRON', 'ADJ', 'VERB', 'VERB', 'PUNCT']"
"['Ащ', 'фэдэ', 'лажьэ', 'сиӏэу', 'зыдэсшӏэжьырэп', '.']","['PRON', 'VERB', 'VERB', 'ADV', 'VERB', 'PUNCT']"
"['Щыӏэныгъэ', 'гъэзапӏэхэр', 'къэпшӏэнхэу', 'щытхэп', '.']","['VERB', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Адыгэ', 'къэралыгъо', 'университетым', 'щызэхащэрэ', 'научнэ', 'конференциехэми', 'колледжым', 'иеджакӏохэр', 'ренэу', 'ахэлажьэх', '.']","['NOUN', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'VERB', 'PUNCT']"
"['Лъэшэу', 'тыгушӏуагъ', '.']","['ADJ', 'VERB', 'PUNCT']"
"['Украинэм', 'ипсэупӏэу', 'Дьяковэ', 'икъэухъумэн', 'фэзаозэ', 'Хъ', '.']","['NOUN', 'VERB', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Мы', 'командэхэм', 'язэнэкъокъу', 'тхьаумафэм', 'аухыщт', '.']","['ADJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Сищыӏэныгъэ', 'зэстыгъэ', 'дзэм', 'апэрэу', 'ащ', 'фэдэ', 'щызэхэсэхы', '.']","['VERB', 'VERB', 'NOUN', 'NUM', 'PRON', 'VERB', 'VERB', 'PUNCT']"
"['Сурэтышӏхэм', 'яакадемие', 'сыщыӏагъ', '.']","['NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Нэгъой', 'Маринэ', 'тигуапэу', 'тедэӏугъ', '.']","['NOUN', 'NOUN', 'ADV', 'VERB', 'PUNCT']"
"['Дунаим', 'щыцӏэрыӏо', 'спортсменхэм', 'арэущтэу', 'къапэгъокӏыгъэхэшъ', ',', 'тэри', 'тэгушӏо', '.']","['NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'PUNCT']"
"['«', 'Кощхьаблэр', '»', 'бэрэ', 'ыпэкӏэ', 'илъыщтыгъ', '.']","['PUNCT', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['Щакӏохэм', 'ячӏыпӏэхэр', 'нахь', 'пасэу', 'афагъэнэфагъэхэшъ', ',', 'мэфэкӏым', 'къекӏолӏагъэхэр', 'зэрагъэрэзэщтхэм', 'пылъых', '.']","['VERB', 'NOUN', 'ADV', 'ADJ', 'ADJ', 'PUNCT', 'NOUN', 'VERB', 'ADJ', 'VERB', 'PUNCT']"
"['Жабзэкӏэ', 'къаӏорэм', 'къикӏырэр', 'ащ', 'сурэтхэмкӏэ', 'къегъэлъагъо', ',', 'ау', 'бзэм', 'ишъуашэхэр', 'къытынхэ', 'ылъэкӏырэп', '.']","['NOUN', 'VERB', 'VERB', 'PRON', 'NOUN', 'VERB', 'PUNCT', 'CONJ', 'NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Ыӏуагъэмэ', ',', 'ышӏэщт', '.']","['VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['Анахь', 'шъхьаӏэр', 'зэгъусэхэу', ',', 'зэдеӏэжьхэзэ', 'ӏоф', 'зэрашӏагъэр', 'ары', '.']","['ADV', 'ADJ', 'ADV', 'PUNCT', 'VERB', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Щыс', 'махъшэхэри', ',', 'щытхэри', 'мэгъуашхэх', '.']","['NOUN', 'NOUN', 'PUNCT', 'VERB', 'VERB', 'PUNCT']"
"['Ащ', 'кӏэщакӏо', 'фэхъугъ', 'зыцӏэ', 'къетӏогъэ', 'музеим', 'ипащэу', 'Кушъу', 'Нэфсэт', '.']","['PRON', 'VERB', 'VERB', 'NOUN', 'VERB', 'NOUN', 'ADV', 'NOUN', 'NOUN', 'PUNCT']"
"['А', 'лъэхъаным', 'Урысые', 'къэралыгъуакӏэу', 'агъэпсырэм', 'ӏофыгъо', 'зэфэшъхьафхэр', 'къыпыкӏыщтыгъэх', '.']","['PRON', 'NOUN', 'NOUN', 'ADV', 'VERB', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['А', 'мафэм', 'фэгъэхьыгъэу', 'игъэкӏотыгъэу', '«', 'ӏэнэ', 'хъураехэр', '»', 'тиеджапӏэхэм', 'ащэкӏох', '.']","['PRON', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'VERB', 'PUNCT']"
"['Адыгеим', 'полиграфическэ', 'базэ', 'зэтегъэпсыхьагъэ', 'иӏагъ', '.']","['NOUN', 'ADJ', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Шӏогъэшхо', 'къэзыхьырэ', 'спорт', 'лъэпкъ', 'ар', '.']","['ADJ', 'VERB', 'NOUN', 'NOUN', 'PRON', 'PUNCT']"
"['Апэрэ', 'мафэм', 'купхэр', 'нэпкъ', 'къашхъом', 'къекӏугъэх', '.']","['NUM', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Рассказхэр', ',', 'повестьхэр', ',', 'драматическэ', 'произведениехэр', 'етхых', '.']","['NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['Нахьыжъхэм', 'уасэу', 'афашӏырэр', 'ащ', 'къегъэлъагъо', '.']","['ADV', 'ADV', 'VERB', 'PRON', 'VERB', 'PUNCT']"
"['Цӏыфым', 'ыгу', 'кӏодымэ', ',', 'бэмэ', 'ягупшысэ', ',', 'шъхьэм', 'бэ', 'щызэблэкӏырэр', '.']","['NOUN', 'NOUN', 'VERB', 'PUNCT', 'ADJ', 'VERB', 'PUNCT', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['–', 'Сэшӏэ', '!']","['PUNCT', 'VERB', 'PUNCT']"
"['Лъэшэу', 'егупшысагъ', ',', 'ыӏогъагъэри', 'ыгу', 'къэкӏыжьыгъ', '.']","['ADJ', 'VERB', 'PUNCT', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['ары', 'зыпылъыгъэхэр', '.']","['VERB', 'VERB', 'PUNCT']"
"['Усэхэм', 'къяджагъэх', ',', 'орэдхэр', 'къаӏуагъэх', '.']","['NOUN', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['Мыщ', 'игъэцэкӏэнкӏэ', 'министерствэм', 'ӏэпыӏэгъу', 'къыфэхъух', 'цӏыфхэр', 'социальнэу', 'къэухъумэгъэнхэмкӏэ', 'органхэу', 'чӏыпӏэхэм', 'ащыӏэхэр', '.']","['ADJ', 'VERB', 'NOUN', 'VERB', 'VERB', 'NOUN', 'ADJ', 'VERB', 'ADV', 'NOUN', 'VERB', 'PUNCT']"
"['Ари', 'краим', 'иперинатальнэ', 'Гупчэу', 'Краснодар', 'дэтым', 'къыщыхъугъ', '.']","['PRON', 'NOUN', 'ADJ', 'ADV', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['—', 'Сыда', 'зыкӏэмыхъущтыр', '?']","['PUNCT', 'ADJ', 'VERB', 'PUNCT']"
"['Кухэр', 'щагум', 'дэзэрэгъэхыщтыгъэх', '.']","['NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Тиныбжьыкӏэхэм', 'ӏофшӏэн', 'ягъэгъотыгъэн', 'фае', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['-', 'Къушъхьэпсыр', 'къэбзэным', 'пае', 'къызыщежьэрэм', 'уеплъын', 'фае', '.']","['PUNCT', 'NOUN', 'ADJ', 'VERB', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Уасэхэр', 'зэтефыгъэх', '.']","['NOUN', 'VERB', 'PUNCT']"
"['-', 'Ар', 'лъэшэу', 'тызыгъэгумэкӏырэмэ', 'ащыщ', '.']","['PUNCT', 'PRON', 'ADJ', 'VERB', 'VERB', 'PUNCT']"
"['«', 'Спартак', '»', 'Санкт-Петербург', 'зэрэщешӏагъэм', 'къыхэдгъэщырэр', '«', 'Зенит', '»', 'дышъэ', 'медальхэм', 'якъыдэхынкӏэ', 'амалышӏухэр', 'зэриӏэхэр', 'ары', '.']","['PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Ыкъоу', 'Казбеки', 'хьисапымкӏэ', 'факультетыр', 'къыухыгъ', ',', 'МВД-м', 'исистемэ', 'щылэжьагъ', '.']","['ADV', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Творческэ', 'купхэм', 'язэхэщэн', 'нахь', 'пыхьагъ', '.']","['ADJ', 'NOUN', 'VERB', 'ADV', 'VERB', 'PUNCT']"
"['Гандболым', 'имэфэкӏ', 'Мыекъуапэ', 'щызэхащагъ', '.']","['NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Ащ', 'иамал', 'къэзытыщтхэм', 'ащыщых', 'бюджетым', 'епхыгъэу', 'ӏоф', 'зышӏэхэрэм', 'ялэжьапкӏэ', 'хэгъэхъогъэныр', ',', 'ящэнэрэ', 'сабыим', 'пае', 'унагъом', 'мазэ', 'къэс', 'ахъщэ', 'ӏэпыӏэгъу', 'етыгъэныр', '.']","['PRON', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'VERB', 'PUNCT', 'NUM', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Экскурсиекӏэ', 'егъэджэныр', 'рагъэжьагъ', '.']","['NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Апэрэ', 'тхылъым', 'нэмыкӏхэр', 'къыкӏэлъыкӏуагъэх', '.']","['NUM', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['Мафэрэ', 'фельдшер', '-', 'мамыку', 'пунктым', 'ӏоф', 'зыщишӏэрэ', 'уахътэр', 'зэрыт', 'тхьэпэ', 'пкӏыжьыгъэм', 'тетхагъэм', 'ерагъэу', 'тыкъеджэ', '.']","['NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'VERB', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['—', 'Ащ', 'фэдагъэп', 'адрэр', '.']","['PUNCT', 'PRON', 'VERB', 'PRON', 'PUNCT']"
"['Тэ', 'щыӏэха', 'адрэхэр', '?']","['PRON', 'VERB', 'PRON', 'PUNCT']"
"['Силъэпкъ', 'фэсшӏэн', 'слъэкӏырэмкӏэ', 'сыбай', '.']","['NOUN', 'VERB', 'VERB', 'ADJ', 'PUNCT']"
"['Ау', 'ащ', 'фэдэ', 'дунай', 'тытетыгъэмэ', '...']","['CONJ', 'PRON', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['«', 'Физическэ', 'культурэмрэ', 'спортымрэ', 'хэхъоныгъэхэр', 'ашӏынхэм', 'фэгъэхьыгъ', '»', 'зыфиӏорэ', 'федеральнэ', 'программэм', 'игъэцэкӏэн', 'ар', 'къыдыхэлъытагъ', '.']","['PUNCT', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'VERB', 'PRON', 'VERB', 'PUNCT']"
"['Дунаим', 'тетэп', 'сэ', 'сихэку', 'зыпэсшӏын', 'чӏыпӏэ', '.']","['NOUN', 'VERB', 'PRON', 'NOUN', 'VERB', 'NOUN', 'PUNCT']"
"['Тыдэ', 'зыщэӏи', ',', '«', 'уай', '-', 'уай', '»', 'аригъэӏуагъ', '.']","['ADJ', 'VERB', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'PUNCT']"
"['«', 'ӏэнэ', 'хъураеу', '»', '«', 'Кавказыр', '.']","['PUNCT', 'NOUN', 'ADV', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT']"
"['–', 'Зэхэпхыгъа', ',', 'тырку', 'забыт', ',', 'тицыхьэ', 'къыптелъ', '.']","['PUNCT', 'VERB', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['Ахэри', 'хэкӏодагъэх', '.']","['PRON', 'VERB', 'PUNCT']"
"['Залым', 'Урысыемрэ', 'Адыгеимрэ', 'ягимнхэр', 'щыӏугъэх', '.']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Дзэгъащтэ', 'къыкӏэлъыкӏорэр', 'Аслъан', '.']","['VERB', 'VERB', 'NOUN', 'PUNCT']"
"['Сыд', 'илӏэужыгъуа', 'ар', '?']","['ADJ', 'NOUN', 'PRON', 'PUNCT']"
"['Сызфэе', 'уни', ',', 'псэуалъи', ',', 'машини', 'къэсщэфын', 'слъэкӏыщт', '.']","['VERB', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Ащ', 'ыуж', 'тыфэлӏэжьыгъэу', 'жьышхо', 'къэтэщэ', '.']","['PRON', 'ADP', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Чэщыри', 'уцухэрэп', '.']","['NOUN', 'VERB', 'PUNCT']"
"['Франциери', 'зэралъэкӏыкӏэ', 'къыпэуцужьыщтыгъэх', '.']","['NOUN', 'VERB', 'VERB', 'PUNCT']"
