sentence,gr.pos
"['Промышленность', 'шъхьаӏэр', 'зыдэщыӏагъэр', 'Мыекъуапэ', ',', 'псэолъапхъэхэм', 'ягъэхьазырын', 'фэгъэзэгъэгъэ', 'промышленностыр', '—', 'Мыекъопэ', 'районыр', 'ары', '.']","['NOUN', 'ADJ', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['«', 'Къызэрэсэмыдэӏущтыгъэр', 'плъэгъугъэба', '?»']","['PUNCT', 'VERB', 'VERB', 'PUNCT']"
"['Адыгэ', 'Республикэм', 'иартист', 'цӏэрыӏохэр', 'зыхэлэжьэхэрэ', 'концертхэм', 'ащыщ', 'нэӏуасэ', 'тыщызэфэхъугъ', '.']","['NOUN', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['—', 'Слъэгъугъэ', '.']","['PUNCT', 'VERB', 'PUNCT']"
"['Джар', 'ишӏыкӏэу', 'Тыркуем', 'адыгэ', 'чӏыгухэр', 'Урысыем', '«', 'къыфегъэкӏуатэх', '».']","['ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'PUNCT']"
"['Джы', 'непэ', 'сыда', 'тикӏуакӏэр', '?']","['ADV', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['Урамэу', 'Чайковскэмкӏэ', 'къедгъэжьэщт', '.']","['ADV', 'NOUN', 'VERB', 'PUNCT']"
"['Ау', 'джырэ', 'нэс', 'а', 'къулыкъум', 'ӏоф', 'зыщишӏэн', 'унэ', 'тэрэз', 'иӏагъэп', '.']","['CONJ', 'ADV', 'ADP', 'PRON', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['Зичэзыу', 'ешӏэгъухэр', 'командэхэм', 'тыгъуасэ', 'яӏагъэх', '.']","['NOUN', 'VERB', 'NOUN', 'ADV', 'VERB', 'PUNCT']"
"['-', 'Адыгэкъалэкӏэ', ',', '-', 'къыригъэжьагъ', 'ащ', 'ипсалъэ', ',', '-', 'непэрэ', 'зэхахьэр', 'хъугъэ-шӏэгъэшху', '.']","['PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'PRON', 'VERB', 'PUNCT', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'PUNCT']"
"['-', 'Адыгэ', 'Республикэм', 'шъукъызэрэкӏуагъэр', 'лъэшэу', 'тигуапэ', '.']","['PUNCT', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'PUNCT']"
"['-', 'Бзылъфыгъэм', 'сыд', 'уаса', 'ептырэр', '?']","['PUNCT', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['Жюрим', 'методическэ', 'ӏэпыӏэгъухэм', 'шъхьафэу', 'уасэ', 'афишӏыгъ', '.']","['NOUN', 'ADJ', 'VERB', 'ADV', 'NOUN', 'VERB', 'PUNCT']"
"['Ащ', 'иджэуапи', 'зэдгъэшӏагъэ', '.']","['PRON', 'NOUN', 'VERB', 'PUNCT']"
"['Джащ', 'фэдэ', 'цӏыф', 'Марини', '.']","['ADJ', 'VERB', 'NOUN', 'NOUN', 'PUNCT']"
"['Ахэм', 'сяти', 'ахэтыгъ', '.']","['PRON', 'VERB', 'VERB', 'PUNCT']"
"['-', 'Водительхэм', 'афэгъэхьыгъэ', 'унашъоу', 'къыдэкӏыгъэхэм', 'сырыразэу', 'адесэгъаштэ', '.']","['PUNCT', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADJ', 'VERB', 'PUNCT']"
"['Ащ', 'Адыгэ', 'Хасэри', '«', 'Адыгэ', 'макъэри', '»', 'пэуцужьыгъагъэх', '.']","['PRON', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'PUNCT']"
"['Ныбэ', 'Анзор', '.']","['NOUN', 'NOUN', 'PUNCT']"
"['Ащ', 'къикӏырэп', 'зыуухыижьын', 'фаеу', '.']","['PRON', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Сыдым', 'фэгъэхьыгъа', 'а', 'зэдэгущыӏэгъухэр', '?']","['ADJ', 'VERB', 'PRON', 'VERB', 'PUNCT']"
"['Бэ', 'ылъэгъугъэр', 'мы', 'чылэм', '.']","['ADJ', 'VERB', 'ADJ', 'NOUN', 'PUNCT']"
"['Кӏэлэегъэджэшхом', 'имэфэкӏ', 'университетым', 'филологиемкӏэ', 'ифакультет', 'истудентхэми', 'амакъэ', 'щыӏугъ', '.']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Сэри', 'адезгъэштагъ', '.']","['PRON', 'VERB', 'PUNCT']"
"['—', 'Алахьыр', 'къысэуагъ', ',—', 'джари', 'къышӏэжьырэп', '.']","['PUNCT', 'NOUN', 'VERB', 'PUNCT', 'ADJ', 'VERB', 'PUNCT']"
"['Терроризмэр', 'непэ', 'къежьагъэу', 'щытэп', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Адыгэ', 'художественнэ', '-', 'литературнэ', 'критикэри', 'литературэм', 'къыхэуцо', '.']","['NOUN', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Сыдигъуа', 'бджырэ', 'тхылъым', ',', 'усэм', 'нахь', 'узигъатхъэрэр', ',', 'узызыӏэкӏилъхьэрэр', '?..']","['ADJ', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'ADV', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['Бзэр', 'зыщыкӏодырэм', 'цӏыф', 'лъэпкъыри', 'дэкӏоды', '.']","['NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Ахьмэд', 'апшъэрэ', 'еджапӏэу', 'Краснодар', 'дэтым', 'щеджэ', '.']","['NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['-', 'Мыгъэ', 'апэрэу', 'хэдзынхэм', 'сахэлэжьагъ', '.']","['PUNCT', 'NOUN', 'NUM', 'VERB', 'VERB', 'PUNCT']"
"['етэӏо', '.']","['VERB', 'PUNCT']"
"['Тэ', 'тфэди', 'тфэмыди', 'бэ', 'дунаим', 'къытехьэрэри', ',', 'текӏыжьырэри', '.']","['PRON', 'VERB', 'VERB', 'ADJ', 'NOUN', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['Уиакъыл', 'къыхьыщтмэ', ',', 'къыбгурыӏощтмэ', ',', 'болгар', 'лъэныкъор', 'ары', '.']","['NOUN', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Ау', 'Айдэмыр', 'къэщынагъэп', '.']","['CONJ', 'NOUN', 'VERB', 'PUNCT']"
"['Сэри', 'а', 'ӏофымкӏэ', 'сычаныгъ', '.']","['PRON', 'PRON', 'NOUN', 'ADJ', 'PUNCT']"
"['Кӏэлэегъэджэ', 'сэнэхьатыр', 'сэ', 'сыгукӏэ', 'къыхэсхыгъ', '.']","['NOUN', 'NOUN', 'PRON', 'NOUN', 'VERB', 'PUNCT']"
"['Мыекъопэ', 'районымкӏи', 'а', 'гумэкӏыгъор', 'щыӏ', '.']","['NOUN', 'NOUN', 'PRON', 'VERB', 'VERB', 'PUNCT']"
"['Ар', 'щыӏэныгъэм', 'къыщэлъагъо', '.']","['PRON', 'VERB', 'VERB', 'PUNCT']"
"['Шъошэ', 'зэфэшъхьафхэр', 'тщыгъых', ',', 'тиорэдхэр', ',', 'тикъашъохэр', ',', 'тыбзэ', 'зэтекӏых', '.']","['VERB', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['–', 'Зымыухыжь', ',', 'Хьатам', '...']","['PUNCT', 'VERB', 'PUNCT', 'NOUN', 'PUNCT']"
"['Ар', 'зылъэгъугъэ', 'пыим', 'ыгу', 'ӏаеу', 'къысфэплъыгъ', '.']","['PRON', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['-', 'Ары', '.']","['PUNCT', 'VERB', 'PUNCT']"
"['Мафэ', 'къэс', 'къадэмыгущыӏэу', 'къыхэкӏырэп', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Сэ', 'сыкъызэтеуцуагъ', '.']","['PRON', 'VERB', 'PUNCT']"
"['Ятӏонэрэ', 'гушӏуагъуи', 'Ацумыжъым', 'къежэщтыгъэ', 'а', 'мафэм', '.']","['NUM', 'VERB', 'NOUN', 'VERB', 'PRON', 'NOUN', 'PUNCT']"
"['Мы', 'лъэныкъомкӏэ', 'сыда', 'шъушӏагъэхэр', '?']","['ADJ', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['—', 'Сэшӏэ', 'дунэе', 'рекордхэр', 'зэнэкъокъум', 'щагъэуцун', 'зэрамылъэкӏыщтыр', '.']","['PUNCT', 'VERB', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Гум', 'къешӏэ', '.']","['NOUN', 'VERB', 'PUNCT']"
"['Цӏыфым', 'ыпсэ', '?!']","['NOUN', 'NOUN', 'PUNCT']"
"['Мы', 'Франсыр', 'ары', 'цӏыфыр', 'зыщышъхьафит', 'хэгъэгур', ',', 'фэдэ', 'дунаим', 'тетэп', '.']","['ADJ', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Краснодар', 'дэт', 'кӏэлэегъэджэ', 'институтыр', 'къыухи', ',', 'физик', '-', 'математикэу', 'заулэрэ', 'ӏоф', 'ышӏагъ', '.']","['NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'ADV', 'ADV', 'NOUN', 'VERB', 'PUNCT']"
"['Сурэтым', 'итхэр', ':', 'Уджыхъу', 'Адам', ',', 'Хьабый', 'Байзэт', ',', 'Пщыдатэкъо', 'Рэмэзан', '.']","['NOUN', 'VERB', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'PUNCT']"
"['Ащ', 'пыдзагъэу', 'ежьыри', 'хэгъэгум', 'щыкӏорэ', 'политическэ', 'бэнэныгъэ', 'ӏужъум', 'икуупӏэ', 'хэхьагъ', '.']","['PRON', 'ADV', 'PRON', 'NOUN', 'VERB', 'ADJ', 'VERB', 'ADJ', 'VERB', 'VERB', 'PUNCT']"
"['Ушъхьаса', ',', 'демократием', 'къезэрэгъаох', '!..']","['NOUN', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['Ащыпсэухэрэр', 'зэдэгущыӏэнхи', ',', 'зэлъыкӏонхи', 'фитхэп', '.']","['VERB', 'VERB', 'PUNCT', 'VERB', 'VERB', 'PUNCT']"
"['Депутатхэр', 'къызэрэкӏэупчӏагъэхэм', 'иджэуапэу', 'финансхэмкӏэ', 'министрэр', 'къащыуцугъ', 'федеральнэ', 'бюджетым', 'къикӏыгъэ', 'мылъкур', 'зытелъытэгъэ', 'лъэныкъохэм', '.']","['NOUN', 'VERB', 'ADV', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'PUNCT']"
"['Врачебнэ', 'амбулаториехэм', 'адакӏоу', 'фельдшер', '-', 'мамыку', 'ӏэзапӏэхэм', 'яшӏыни', 'Адыгеим', 'щылъагъэкӏотэщт', '.']","['ADJ', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Зэрагъэнэфагъэмкӏэ', ',', 'мыщ', 'фэдэ', 'продукциехэр', 'къыдэзыгъэкӏыхэрэм', 'илъэсым', 'къыкӏоцӏ', 'уасэм', 'зэ', 'нахьыбэ', 'хагъэхъон', 'алъэкӏыщтэп', '.']","['ADJ', 'PUNCT', 'ADJ', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NUM', 'ADV', 'VERB', 'VERB', 'PUNCT']"
"['зы', 'дэт', '.']","['NUM', 'VERB', 'PUNCT']"
"['Сабый', 'ппӏуныри', 'ӏэшӏэхэп', 'мы', 'лъэхъаным', '.']","['NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN', 'PUNCT']"
"['Апэрэу', 'къыхэтэуты', '.']","['NUM', 'VERB', 'PUNCT']"
"['Президентым', 'изаконопроект', 'Къэралыгъо', 'Думэм', 'зэрэщыпхырыкӏыщтым', 'уехъырэхъышэжьынэу', 'щытэп', '.']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Триш', '-', 'Трыщ', '/', 'Трыш', '?/;']","['VERB', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'PUNCT']"
"['Икӏэлэегъаджэмэ', 'къыраӏорэр', 'ыгу', 'реубытэ', '.']","['NOUN', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Композиторхэм', 'яӏэпэӏэсэныгъэ', 'хагъэхъонымкӏэ', 'амалышӏухэр', 'яӏагъэх', '.']","['NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Республикэм', 'ит', 'медицинэ', 'учреждениехэм', 'яматериальнэ-техническэ', 'базэ', 'зыкъиӏэтыгъ', '.']","['NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['Сыхьат', 'заулэм', 'къыкӏоцӏ', 'ар', 'къаубытыгъ', '.']","['NOUN', 'ADV', 'NOUN', 'PRON', 'VERB', 'PUNCT']"
"['цӏэщтын', 'сӏуагъэ', 'нахь', ',', 'теубытагъэу', 'къэсӏуагъэп', '.']","['NOUN', 'VERB', 'ADV', 'PUNCT', 'VERB', 'VERB', 'PUNCT']"
"['Мыщ', 'фэдэ', 'ӏофтхьабзэ', 'зэрэзэхащагъэм', 'лъэшэу', 'сигъэгушӏуагъ', '.']","['ADJ', 'VERB', 'NOUN', 'VERB', 'ADJ', 'VERB', 'PUNCT']"
"['Ащ', 'удэхъумэ', ',', 'уиӏоф', 'къекӏы', ',', 'удэмыхъумэ', '—', 'укъызхедзы', '.']","['PRON', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['Уидунай', 'зебгъэзэгъын', 'фае', '.']","['NOUN', 'VERB', 'VERB', 'PUNCT']"
"['—', 'Хьау', ',', 'тат', '...']","['PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']"
"['Ахэр', 'тэ', ',', 'нэжъ', '-', 'ӏужъхэмкӏэ', ',', 'ӏэпыӏэгъу', 'къытфэхъух', '.']","['PRON', 'PRON', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'VERB', 'PUNCT']"
"['Сыдми', 'еджэнхэу', 'къэкӏуагъэхэп', '.']","['ADJ', 'VERB', 'VERB', 'PUNCT']"
"['А', 'лъэхъаным', 'еджэным', 'нахьи', 'нахьыбэу', 'музыкэм', 'тыпылъыщтыгъ', '.']","['PRON', 'NOUN', 'VERB', 'ADV', 'ADV', 'NOUN', 'VERB', 'PUNCT']"
"['Нэужым', 'унэр', 'хьапсэу', 'агъэфедагъ', '.']","['ADV', 'NOUN', 'ADV', 'NOUN', 'PUNCT']"
"['Мыщ', 'фэдэ', 'ӏофтхьабзэ', 'зэрэщыӏэщтыр', 'еджапӏэм', 'къыщытаӏуагъ', '.']","['ADJ', 'VERB', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Къаӏохэрэр', 'зэхэмыхыным', 'пае', 'къуаджэр', 'убгынэщта', '?']","['VERB', 'VERB', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['-', 'Непэ', 'тиреспубликэ', 'зэтегъэпсыхьагъэ', ',', 'джырэ', 'лъэхъаным', 'диштэным', 'пае', 'гъэцэкӏэкӏо', 'хэбзэ', 'къулыкъухэм', 'бэ', 'ашӏэрэр', ',', '-', 'къыхигъэщыгъ', 'ащ', '.']","['PUNCT', 'NOUN', 'NOUN', 'VERB', 'PUNCT', 'ADV', 'NOUN', 'VERB', 'VERB', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'PUNCT', 'PUNCT', 'VERB', 'PRON', 'PUNCT']"
"['А', 'уахътэм', 'нэмыкӏ', 'артистхэм', 'тядэӏу', '.']","['PRON', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['Аслъаныр', ':', 'Ары', '.']","['NOUN', 'PUNCT', 'VERB', 'PUNCT']"
"['Ау', 'ахэм', 'яфэшъошэ', 'уасэ', 'къафашӏыгъэу', 'тфэӏонэп', '.']","['CONJ', 'PRON', 'VERB', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['рыкӏу', '.']","['VERB', 'PUNCT']"
"['Спорт', 'псэуалъэхэу', 'республикэм', 'щагъэпсыгъэхэм', 'ятхын', 'зэрэпылъхэр', 'А', '.', 'Бородин', 'къыхигъэщыгъ', '.']","['NOUN', 'VERB', 'NOUN', 'VERB', 'VERB', 'VERB', 'PRON', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['Сарыет', 'мэщхы', '.']","['VERB', 'VERB', 'PUNCT']"
"['Спектаклэ', 'фэдэу', 'программэр', 'гъэуцугъагъэ', '.']","['NOUN', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Командэхэр', 'куп', '-', 'купэу', 'агощыхи', 'зэдешӏагъэх', '.']","['NOUN', 'NOUN', 'PUNCT', 'ADV', 'VERB', 'VERB', 'PUNCT']"
"['Колониехэм', 'пшъэдэкӏыжь', 'ащызыхьыхэрэр', 'нахьыбэу', 'зыпылъхэ', 'спорт', 'лъэпкъхэм', 'ащыщ', 'шахматхэр', '.']","['NOUN', 'NOUN', 'VERB', 'ADV', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'PUNCT']"
"['«', 'Сикъуадж', '»', 'зыцӏэ', 'сурэт', 'купыр', 'ахэм', 'къакӏэлъыкӏуагъ', '.']","['PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PRON', 'VERB', 'PUNCT']"
"['Мамырныгъэм', 'тыкӏэхъопсыщтыгъэ', '.']","['VERB', 'VERB', 'PUNCT']"
"['Ар', 'къызеухым', 'Харьков', 'дэт', 'тарихъым', 'имузей', 'ӏофшӏэныр', 'щыригъэжьагъ', '.']","['PRON', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Исмел', ',', 'къуаджэм', 'щыщыгъ', '.']","['NOUN', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['Мыщ', 'дэжьым', 'пенсиеу', 'зэрэугъоигъахэр', 'кӏодыщтэп', '.']","['ADJ', 'VERB', 'ADV', 'VERB', 'VERB', 'PUNCT']"
"['ӏалъмэкъыр', 'ары', '.']","['NOUN', 'VERB', 'PUNCT']"
"['Ахэр', 'дэеу', 'еджэхэрэм', 'атегъэпсыхьагъэх', '.']","['PRON', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['—', 'Джары', ',', 'джары', 'о', 'узыфэгъэшӏыгъэр', '...']","['PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PRON', 'VERB', 'PUNCT']"
"['—', 'Хьау', ',', 'ащ', 'фэдэ', 'гухэлъ', 'сиӏагъэп', '.']","['PUNCT', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Къалэу', 'Москва', 'ятӏонэрэ', 'чӏыпӏэр', 'ыхьыгъ', '.']","['ADV', 'NOUN', 'NUM', 'NOUN', 'VERB', 'PUNCT']"
"['Ащ', 'фэдэ', 'фыщытыкӏэм', 'цӏыфыр', 'ешхы', ',', 'елажьэ', '.']","['PRON', 'VERB', 'VERB', 'NOUN', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['Творчествэм', 'пылъхэм', 'бэкӏэ', 'ялъытыгъ', 'Урысыем', 'икультурэ', 'къырыкӏощтыр', '.']","['NOUN', 'VERB', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Хьакӏэщэу', 'ищагу', 'дэтым', 'къешӏэкӏыгъэхэу', 'чъыгхэр', 'щигъэтӏысыгъэх', '.']","['ADV', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Тэ', ',', 'адыгэхэм', ',', 'нарт', 'эпосыр', 'тиӏ', '.']","['PRON', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']"
"['—', 'Силъэпкъ', 'ишэн', '-', 'хабзэ', 'фэгъэхьыгъэуи', 'сытхагъ', ',', 'сыпсэлъагъ', '.']","['PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'VERB', 'PUNCT']"
"['—', 'Укъэзгъэукӏытэжьыщтэп', 'сӏуагъи', '!']","['PUNCT', 'VERB', 'VERB', 'PUNCT']"
