morpheme,gloss,affix,freq
тэкъо,STEM,root,2250
го,STEM,root,29624
гумэкӏы,STEM,root,16006
блэгъэ,STEM,root,5000
хьатыр,STEM,root,2724
жьэ,STEM,root,13547
жъу,STEM,root,6104
сыд,STEM,root,20327
быслъымэн,STEM,root,2359
нэмыкӏ,STEM,root,32007
ныб,STEM,root,12084
кӏуа,STEM,root,26081
щ,STEM,root,41765
колоннэ,STEM,root,88
бислъан,STEM,root,733
кӏэлэ,STEM,root,35360
упчӏы,STEM,root,9998
баскетбол,STEM,root,219
хьатам,STEM,root,428
мэщфэшӏу,STEM,root,425
колледж,STEM,root,616
батырбый,STEM,root,1443
гъэза,STEM,root,7639
гъо,STEM,root,42787
лъэгъу,STEM,root,46569
псэу,STEM,root,51778
мамыр,STEM,root,4298
хьэ,STEM,root,48215
проект,STEM,root,2995
щэч,STEM,root,897
сыхьаты,STEM,root,2211
артиллерийскэ,STEM,root,41
амал,STEM,root,11674
интернаты,STEM,root,303
лъэс,STEM,root,70950
хьакӏэ,STEM,root,11229
нэгуе,STEM,root,682
полицие,STEM,root,1600
атэ,STEM,root,9822
космическэ,STEM,root,43
гъэшӏэ,STEM,root,7433
хьап,STEM,root,83
гугъу,STEM,root,34151
уа,STEM,root,7331
тхьаркъо,STEM,root,182
мэхьанэ,STEM,root,13231
къулыкъу,STEM,root,16019
закъу,STEM,root,629
зэкӏэ,STEM,root,22613
хъун,STEM,root,6728
плъыхьа,STEM,root,1652
лъагъо,STEM,root,14701
блэ,STEM,root,33836
ленины,STEM,root,625
адыгэкъалэ,STEM,root,2407
нэфы,STEM,root,1646
ӏоф,STEM,root,55072
роман,STEM,root,1170
анэ,STEM,root,11189
пхы,STEM,root,22546
бла,STEM,root,21775
искусствэ,STEM,root,12360
бзылъфыгъэ,STEM,root,7198
делэ,STEM,root,957
нэбгырэ,STEM,root,12255
рэхьаты,STEM,root,1853
мэфэкӏ,STEM,root,6154
цӏыфы,STEM,root,12955
благъэ,STEM,root,9857
владикавказ,STEM,root,203
сурэты,STEM,root,5745
пчъагъэ,STEM,root,13445
краи,STEM,root,7306
пӏо,STEM,root,35272
лъэгъо,STEM,root,16906
къутамэ,STEM,root,2548
лӏыкӏо,STEM,root,6333
ягъэ,STEM,root,900
пщынэ,STEM,root,2876
тхьакӏущынэ,STEM,root,6997
лъэпкъ,STEM,root,24293
документальнэ,STEM,root,117
ежь,STEM,root,27851
шъхьаӏ,STEM,root,16685
орган,STEM,root,2168
нэхэе,STEM,root,2283
тхьэ,STEM,root,10515
пкӏэ,STEM,root,6275
хэтэрыкӏ,STEM,root,714
хьазыры,STEM,root,11143
ӏотэ,STEM,root,6327
лъыта,STEM,root,9073
шӏои,STEM,root,3511
укӏытэ,STEM,root,948
тыгъо,STEM,root,2772
хасэ,STEM,root,6101
лэжьа,STEM,root,15928
гъа,STEM,root,4858
физикэ,STEM,root,275
кафедрэ,STEM,root,549
дэха,STEM,root,3473
гусаков,STEM,root,38
дзэ,STEM,root,12607
классы,STEM,root,1384
образование,STEM,root,1879
бэ,STEM,root,18963
цӏэрыӏо,STEM,root,4217
мафэ,STEM,root,36974
гущыӏа,STEM,root,13507
ӏорышӏа,STEM,root,5893
адэ,STEM,root,5044
щын,STEM,root,3096
мин,STEM,root,10926
фэ,STEM,root,10647
пхъ,STEM,root,94
предприниматель,STEM,root,1087
генеральнэ,STEM,root,819
чӏыгу,STEM,root,8960
гушӏуа,STEM,root,7538
лъэсы,STEM,root,302
хабз,STEM,root,827
архитектор,STEM,root,237
унашъо,STEM,root,7187
президент,STEM,root,5300
тӏа,STEM,root,813
грузины,STEM,root,16
спорт,STEM,root,3142
мэз,STEM,root,10374
гурыӏо,STEM,root,7622
цӏыкӏу,STEM,root,18037
лъэныкъо,STEM,root,20498
непэ,STEM,root,14078
шкаф,STEM,root,38
пэрыт,STEM,root,1233
шӏагъо,STEM,root,1838
совет,STEM,root,6230
ӏофы,STEM,root,35012
жъыу,STEM,root,3847
укъуа,STEM,root,2259
урыс,STEM,root,7299
миллион,STEM,root,7404
ш,STEM,root,19007
гъунэпкъэ,STEM,root,443
музее,STEM,root,286
тарихъ,STEM,root,5144
филиал,STEM,root,58
хэгъэгу,STEM,root,15522
мыдэ,STEM,root,789
гущыӏ,STEM,root,2327
организацие,STEM,root,4610
мэ,STEM,root,10093
кавказ,STEM,root,2391
шъуа,STEM,root,3958
гупчэ,STEM,root,7259
уды,STEM,root,27
ӏуш,STEM,root,1043
ау,STEM,root,28774
укӏ,STEM,root,1367
лъэныкъу,STEM,root,723
ӏэт,STEM,root,678
изложение,STEM,root,32
зэжъу,STEM,root,332
зэгъы,STEM,root,15059
фронты,STEM,root,949
блэгъа,STEM,root,8248
заулэ,STEM,root,4921
сты,STEM,root,3380
батырбыи,STEM,root,42
гупы,STEM,root,142
кӏэлэегъадж,STEM,root,1625
заслуженнэ,STEM,root,8574
абдулахь,STEM,root,572
дунаи,STEM,root,16036
шӏу,STEM,root,26908
пащэ,STEM,root,17391
чӏы,STEM,root,37238
шӏэгъо,STEM,root,11204
разэ,STEM,root,2928
къумпӏыл,STEM,root,4577
шӏошӏ,STEM,root,2111
бгъу,STEM,root,1253
зэ,REC.IO,prefix,520571
е,DAT,prefix,497975
э,DAT,prefix,354170
й,DAT,prefix,259888
а,DAT,prefix,242237
р,DAT,prefix,324893
я,DAT,prefix,4780
ф,BEN,prefix,232401
фэ,BEN,prefix,446258
фы,BEN,prefix,64492
фа,BEN,prefix,69216
кӏэ,INS,suffix,439910
кӏ,INS,suffix,38855
м,INS,suffix,1271
кӏэрэ,INS,suffix,749
кӏэр,INS,suffix,135
николь,INS,suffix,3
дэмышӏэ,INS,suffix,13
класс,INS,suffix,1
шӏыкӏэ,INS,suffix,7
шъокӏу,INS,suffix,1
шхо,INS,suffix,2
шӏагъэ,INS,suffix,4
гъэ,INS,suffix,2
кӏэ,INS,prefix,2
бэй,INS,suffix,2
анжеликэ,INS,suffix,2
петербург,INS,suffix,2
концерт,INS,suffix,1
рэ,INS,suffix,1
конференцие,INS,suffix,2
сым,INS,suffix,1
жьы,RE,suffix,358777
жь,RE,suffix,93772
сымы,RE,suffix,1
зы,REL.TMP,prefix,283199
з,REL.TMP,prefix,147474
а,3PL.P,prefix,280763
я,3PL.P,prefix,1120
рэ,COORD,suffix,276675
м,COORD,suffix,192
антуан,COORD,suffix,10
мэщ,COORD,suffix,2
анжеликэ,COORD,suffix,41
при,COORD,suffix,1
на,COORD,suffix,4
бэй,COORD,suffix,6
министрэ,COORD,suffix,10
сайт,COORD,suffix,3
петербург,COORD,suffix,14
шӏыкӏэ,COORD,suffix,3
николь,COORD,suffix,22
концерт,COORD,suffix,2
борэн,COORD,suffix,1
мышъхьэ,COORD,suffix,1
инкубатор,COORD,suffix,1
эпы,NEG,suffix,1259
мы,NEG,prefix,270431
эп,NEG,suffix,161944
п,NEG,suffix,12353
пы,NEG,suffix,421
мы,NEG,suffix,45
гъ,NEG,suffix,2
шӏагъ,NEG,suffix,1
х,NEG,suffix,1
з,REL.IO,prefix,87283
зы,REL.IO,prefix,263870
зэ,REL.IO,prefix,123980
ы,3SG.P,prefix,218634
щт,FUT,suffix,218147
щты,FUT,suffix,117697
щты,FUT,prefix,1
зэрэ,REL.SUB,prefix,204424
зэр,REL.SUB,prefix,146671
дэ,COM,prefix,192517
д,COM,prefix,139223
да,COM,prefix,24855
ды,COM,prefix,19376
зы,RFL.ABS,prefix,170665
з,RFL.ABS,prefix,81763
мэ,OBL.PL,suffix,166530
шӏагъэ,OBL.PL,suffix,34
бэ,OBL.PL,suffix,6
жъор,OBL.PL,suffix,1
мышъхьэ,OBL.PL,suffix,6
ты,OBL.PL,suffix,8
къуакӏэ,OBL.PL,suffix,3
быжъ,OBL.PL,suffix,1
шӏыкӏэ,OBL.PL,suffix,7
шхо,OBL.PL,suffix,1
министрэ,OBL.PL,suffix,1
шъокӏу,OBL.PL,suffix,3
тӏу,OBL.PL,suffix,2
петербург,OBL.PL,suffix,1
хэ,OBL.PL,suffix,1
гъэ,NMLZ.ABSTR,suffix,147651
гъ,NMLZ.ABSTR,suffix,22053
дэмышӏа,NMLZ.ABSTR,suffix,111
дэмышӏэ,NMLZ.ABSTR,suffix,7
псыи,NMLZ.ABSTR,suffix,2
лыхьа,NMLZ.ABSTR,suffix,1
упцӏа,NMLZ.ABSTR,suffix,1
т,1PL.IO,prefix,143940
д,1PL.IO,prefix,3634
м,COND,suffix,93449
мэ,COND,suffix,143372
шӏыкӏэ,COND,suffix,1
сымы,COND,suffix,1
гъэ,COND,suffix,1
зы,REL.ERG,prefix,142630
т,1PL.ABS,prefix,139232
ты,1PL.ABS,prefix,105924
шӏо,MAL,prefix,136142
шӏа,MAL,prefix,2379
б,2SG.ERG,prefix,35593
у,2SG.ERG,prefix,39070
п,2SG.ERG,prefix,133830
пӏэ,NMLZ.LOC,suffix,133677
пӏ,NMLZ.LOC,suffix,24153
кӏы,EL,suffix,127172
кӏ,EL,suffix,27769
плӏэу,EL,suffix,1
щты,AUX,suffix,125093
щт,AUX,suffix,6649
шӏыкӏэ,AUX,suffix,1
щты,AUX,prefix,3
т,1PL.ERG,prefix,116489
д,1PL.ERG,prefix,45847
ты,1PL.ERG,prefix,6441
кӏэ,NMLZ.MNR,suffix,111185
кӏ,NMLZ.MNR,suffix,23571
кӏэ,NMLZ.MNR,prefix,2
шӏыкӏэ,NMLZ.MNR,suffix,1
у,2SG.ABS,prefix,107080
гъо,NMLZ.TIME,suffix,104214
гъу,NMLZ.TIME,suffix,81976
гъо,NMLZ.TIME,prefix,119
ры,TRANS,prefix,100570
р,TRANS,prefix,48379
рэ,TRANS,prefix,6957
з,1SG.IO,prefix,7210
с,1SG.IO,prefix,97779
кӏэ,новый,suffix,93508
дэмышӏэ,новый,suffix,13
шӏыкӏэ,новый,suffix,3
ты,новый,suffix,1
класс,новый,suffix,1
николь,новый,suffix,3
конференцие,новый,suffix,2
гъэ,новый,suffix,1
шхо,новый,suffix,2
шӏэгъа,новый,suffix,1
сым,новый,suffix,1
борэн,новый,suffix,2
петербург,новый,suffix,2
концерт,новый,suffix,1
бэй,новый,suffix,2
шъокӏу,новый,suffix,1
анжеликэ,новый,suffix,1
з,1SG.ERG,prefix,30587
с,1SG.ERG,prefix,93447
сы,1SG.ERG,prefix,6219
зэ,REC.P,prefix,89042
зэ,SIM,suffix,84223
зэрэ,SIM,suffix,576
з,SIM,suffix,1192
плӏао,SIM,suffix,2
у,2SG.IO,prefix,63623
п,2SG.IO,prefix,82224
б,2SG.IO,prefix,3906
кӏо,NMLZ.AG,suffix,77280
кӏу,NMLZ.AG,suffix,11338
кӏуа,NMLZ.AG,suffix,2616
а,Q,suffix,74818
анжелик,Q,suffix,34
х,Q,suffix,1
лейтенант,Q,suffix,1
никол,Q,suffix,1
шӏыкӏ,Q,suffix,1
петербург,Q,suffix,1
т,1PL.P,prefix,72385
ты,1PL.P,prefix,2398
та,1PL.P,prefix,1164
с,1SG.ABS,prefix,39087
сы,1SG.ABS,prefix,71057
з,REL.P,prefix,70364
зы,REL.P,prefix,21559
гъо,рыжий,suffix,61450
ры,PRED,suffix,56671
хьэ,ILL,suffix,56110
хьа,ILL,suffix,52584
хь,ILL,suffix,7351
шӏэ,делать,suffix,53789
шӏ,делать,suffix,16247
мэщы,делать,suffix,3
у,2SG.P,prefix,44320
п,2SG.P,prefix,3249
уа,2SG.P,prefix,968
гу,сердце,suffix,35024
шъу,2PL.ABS,prefix,35020
жъу,2PL.ABS,prefix,1096
шъу,2PL.IO,prefix,33567
жъу,2PL.IO,prefix,1824
и,LNK,suffix,31910
шӏэгъ,LNK,suffix,36
къокӏ,LNK,suffix,1
цӏыкӏу,маленький,suffix,30845
с,1SG.P,prefix,30797
сы,1SG.P,prefix,5883
са,1SG.P,prefix,764
шъ,CS2,suffix,30198
шъы,CS2,suffix,207
шхо,AUG,suffix,26077
шху,AUG,suffix,1147
шӏэгъэ,AUG,suffix,65
борэны,AUG,suffix,2
конференцие,AUG,suffix,1
сымы,AUG,suffix,1
бэ,много,suffix,24323
б,много,suffix,4372
шӏэгъа,много,suffix,28
ты,много,suffix,3
мышъхьа,много,suffix,1
шъу,2PL.ERG,prefix,21995
жъу,2PL.ERG,prefix,9461
шъхьэ,голова,suffix,21370
рэ,ADJ,suffix,18946
энэрэ,ADJ,suffix,2802
онэрэ,ADJ,suffix,4108
шӏу,добрый,suffix,18139
шӏыкӏэ,добрый,suffix,2
лӏа,CONT,suffix,12950
лӏэ,CONT,suffix,17423
лӏ,CONT,suffix,10689
жъы,старый,suffix,4597
жъ,старый,suffix,17021
къокӏэ,старый,suffix,1
шӏэгъэ,старый,suffix,1
щыпы,старый,suffix,1
ти,CS,suffix,14696
гъэ,CS,suffix,1
сым,CS,suffix,1
ба,BA,suffix,13577
бзэ,язык,suffix,13287
тӏу,два,suffix,13172
и,два,suffix,20
ӏэкӏэ,INADV,prefix,13007
ӏэкӏ,INADV,prefix,6822
ӏэкӏа,INADV,prefix,1783
ӏэкӏы,INADV,prefix,9
шъу,POT,suffix,11514
й,3PL.P+POSS,prefix,11265
я,3PL.P+POSS,prefix,194
псы,вода,suffix,9698
пс,вода,suffix,3834
мышъхьэ,вода,suffix,1
зэрэ,REC.ERG,prefix,9353
зэр,REC.ERG,prefix,3081
пэ,нос,suffix,9312
шъу,2PL.P,prefix,8475
шъуа,2PL.P,prefix,512
жъу,2PL.P,prefix,9
я,ORD,prefix,6910
дрэ,другой,suffix,5058
э,MULT,suffix,5030
о,MULT,suffix,411
лӏ,мужчина,suffix,4914
лӏы,мужчина,suffix,380
ф,белый,suffix,4545
фы,белый,suffix,1974
къо,сын,suffix,4391
щ,три,suffix,4051
щы,три,suffix,2461
и,три,suffix,8
ш,брат,suffix,4005
шы,брат,suffix,977
х,шесть,suffix,1516
хы,шесть,suffix,3105
и,шесть,suffix,1
орэ,OPT,prefix,2070
й,3PL.IO+DAT,prefix,1660
тхъо,седой,suffix,1554
ины,большой,suffix,476
ин,большой,suffix,1052
тфы,пять,suffix,934
тф,пять,suffix,1034
и,пять,suffix,4
плӏы,четыре,suffix,872
плӏ,четыре,suffix,944
и,четыре,suffix,1
бгъэ,грудь,suffix,887
шъэ,сто,suffix,886
пшӏы,десять,suffix,488
пшӏ,десять,suffix,870
и,десять,suffix,3
бгъу,бок,suffix,758
бгъу,девять,suffix,576
бл,семь,suffix,572
блы,семь,suffix,429
пхъу,дочь,suffix,269
шхъо,серый,suffix,251
бай,богатый,suffix,63
баи,богатый,suffix,84
тхэ,APL,suffix,15
анжеликэ,APL,suffix,3
тх,APL,suffix,1
